5001,6001,7001,8001,9001,10001,11001,12001,13001,14001,15001,16001,17001,18001,19001,20001,21001,22001,23001,24001
2.64,1.13,2.56,1.48,1.72,2.65,2.61,1.26,2.64,2.62,2.59,0.926,2.39,0.968,2.61,2.51,0.806,1.14,2.51,0.901
2.51,1.42,2.51,1.37,2.51,2.51,2.51,1.2,2.51,2.51,2.51,0.803,1.31,1.09,2.51,2.51,0.836,1.26,2.51,0.838
2.51,1.26,2.51,1.26,2.51,2.51,2.51,1.25,2.51,2.51,2.51,0.836,1.26,1.26,2.51,2.51,0.837,1.26,2.51,0.838
2.51,1.25,2.51,1.25,2.51,2.51,2.51,1.26,2.51,2.51,2.51,0.837,1.26,1.26,2.51,2.51,0.837,1.26,2.51,0.837
2.51,1.26,2.51,1.26,2.51,2.51,2.51,1.26,2.51,2.51,2.51,0.837,1.25,1.25,2.51,2.51,0.838,1.26,2.51,0.836
2.51,1.26,2.51,1.25,2.51,2.51,2.51,1.26,2.51,2.51,2.51,0.837,1.26,1.25,2.51,2.43,0.841,1.24,2.43,1.53
2.44,1.23,2.42,1.21,2.45,2.42,2.44,1.43,2.43,2.42,2.44,0.888,1.08,1.22,2.41,2.35,1.18,1.18,2.35,2.35
2.35,1.18,2.35,1.18,2.35,2.35,2.35,1.18,2.35,2.35,2.35,1.18,1.18,1.18,2.35,2.35,1.18,1.18,2.35,2.35
2.35,1.18,2.35,1.18,2.35,2.35,2.35,1.18,2.35,2.35,2.35,1.18,1.18,1.18,2.35,2.37,1.08,1.03,2.39,1.9
2.3,1.23,2.39,1.38,2.39,2.37,2.38,1.2,2.38,2.36,2.37,1.09,1.21,1.17,2.39,2.51,0.837,1.1,2.51,0.837
2.51,1.25,2.51,1.42,2.51,2.51,2.51,1.26,2.51,2.51,2.51,0.837,1.26,1.26,2.51,2.51,0.837,1.26,2.51,0.836
2.51,1.26,2.51,1.25,2.51,2.51,2.51,1.26,2.51,2.51,2.51,0.837,1.26,1.25,2.51,2.47,0.925,1.23,2.47,1.22
2.47,1.23,2.47,1.24,2.47,2.47,2.47,1.23,2.47,2.47,2.47,0.922,1.24,1.24,2.47,2.35,1.17,1.18,2.35,2.35
2.35,1.18,2.35,1.18,2.35,2.36,2.35,1.18,2.35,2.35,2.35,1.18,1.18,1.17,2.35,2.36,1.16,1.18,2.35,2.35
