5001,6001,7001,8001,9001
14.2,4.94,1.07,1.64,3.75
15.7,1.05,2.35,1.68,4.35
17.5,1.45,2.68,3.27,2.01
15.8,1.19,3.9,1.76,2.54
15.3,0.303,1.45,7.05,0.56
15.2,1.41,4.04,3.29,0.707
16.3,2.27,2.33,3.97,0.844
11.8,0.645,2.07,4.05,2.61
16.1,2.59,0.506,2.61,3.75
16.3,2.86,1.55,1.91,3.09
